ID,Data,Ora,Tipo,Causa,Meteo,Visibilita,N.Illesi,N.Feriti,N.PrognosiRiservata,N.Deceduti
3702215,25-02-2018,18:10,Veicolo in marcia contro ostacolo accidentale,,,,2,0,0,0
3702220,25-02-2018,09:30,Veicolo in marcia contro ostacolo accidentale,,,,1,0,0,0
3702223,25-02-2018,10:10,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Buona,4,0,0,0
3702224,25-02-2018,10:40,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Buona,1,0,0,0
3702233,25-02-2018,12:35,Veicolo in marcia contro ostacolo accidentale,,Sereno,Buona,1,0,0,0
3702234,25-02-2018,12:30,Tamponamento Multiplo,,Nuvoloso,Buona,5,1,0,0
3702236,25-02-2018,14:30,Veicolo in marcia contro ostacolo accidentale,,Sereno,Buona,2,0,0,0
3702238,24-02-2018,19:30,Veicolo in marcia contro ostacolo accidentale,,Pioggia in atto,Sufficiente,1,0,0,0
3702241,25-02-2018,15:40,Scontro frontale/laterale DX fra veicoli in marcia,,Pioggia in atto,Sufficiente,1,2,0,0
3702246,26-02-2018,01:10,Investimento di pedone,,Sereno,Sufficiente,0,1,0,0
3702257,23-02-2018,21:00,Veicolo in marcia contro ostacolo accidentale,,Pioggia in atto,Sufficiente,2,0,0,0
3702264,25-02-2018,19:30,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Sufficiente,2,0,0,0
3702267,23-02-2018,12:00,Scontro laterale fra veicoli in marcia,,Pioggia in atto,Buona,1,1,0,0
3702272,25-02-2018,23:10,Scontro frontale/laterale SX fra veicoli in marcia,,Pioggia in atto,Buona,3,0,0,0
3702277,25-02-2018,20:50,Veicolo in marcia contro ostacolo accidentale,,Pioggia in atto,Sufficiente,3,0,0,0
3702281,25-02-2018,21:00,Veicolo in marcia contro ostacolo accidentale,,Pioggia in atto,Sufficiente,5,0,0,0
3702285,25-02-2018,23:30,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,4,0,0,0
3702290,25-02-2018,21:05,Veicolo in marcia contro ostacolo accidentale,,Pioggia in atto,Buona,5,0,0,0
3702296,25-02-2018,21:15,Veicolo in marcia contro ostacolo accidentale,,Pioggia in atto,Buona,2,0,0,0
3702298,23-02-2018,22:15,Tamponamento,,Pioggia in atto,Sufficiente,2,0,0,0
3702302,26-02-2018,00:30,Veicolo in marcia contro ostacolo accidentale,,Pioggia in atto,Buona,2,0,0,0
3702304,24-02-2018,05:00,Veicolo in marcia contro veicolo in sosta,,Pioggia in atto,Insufficiente,1,0,0,0
3702314,24-02-2018,07:30,Veicolo in marcia contro veicolo in sosta,,Nuvoloso,Buona,1,0,0,0
3702325,25-02-2018,13:00,Scontro frontale/laterale SX fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3702340,23-02-2018,18:00,Scontro laterale fra veicoli in marcia,,Pioggia in atto,Buona,6,0,0,0
3702341,24-02-2018,00:50,Scontro frontale/laterale SX fra veicoli in marcia,,Pioggia in atto,Sufficiente,2,0,0,0
3702356,24-02-2018,02:40,Veicolo in marcia contro ostacolo fisso,,Pioggia in atto,Sufficiente,1,0,0,0
3702374,24-02-2018,03:00,Veicolo in marcia contro ostacolo accidentale,,Pioggia in atto,Sufficiente,1,0,0,0
3702400,23-02-2018,18:30,Veicolo in marcia contro ostacolo accidentale,,Pioggia in atto,Sufficiente,1,0,0,0
3702411,26-02-2018,15:55,Scontro frontale fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3702415,26-02-2018,12:15,Tamponamento,,Sereno,Buona,3,0,0,0
3702416,24-02-2018,18:55,Veicolo in marcia contro ostacolo accidentale,,Pioggia in atto,Buona,2,0,0,0
3702420,24-02-2018,13:10,Veicolo in marcia contro veicolo fermo,,,,1,0,0,0
3702439,24-02-2018,16:45,Scontro frontale/laterale SX fra veicoli in marcia,,Pioggia in atto,Buona,2,0,0,0
3702442,24-02-2018,08:00,Tamponamento,,Pioggia in atto,Buona,1,1,0,0
3702522,24-02-2018,16:30,Veicolo in marcia contro ostacolo fisso,,Pioggia in atto,Sufficiente,1,0,0,0
3702528,24-02-2018,12:00,Tamponamento Multiplo,,Pioggia in atto,Buona,6,0,0,0
3702540,25-02-2018,20:13,Investimento di pedone,,Nuvoloso,Sufficiente,1,1,0,0
3702547,25-02-2018,18:30,Scontro laterale fra veicoli in marcia,,Nuvoloso,Sufficiente,3,0,0,0
3702559,25-02-2018,10:40,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Buona,2,0,0,0
3702582,25-02-2018,04:30,Investimento di pedone,,Nuvoloso,Insufficiente,2,0,0,1
3702585,25-02-2018,06:10,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Sufficiente,1,0,0,0
