ID,Data,Ora,Tipo,Causa,Meteo,Visibilità,N.Illesi,N.Feriti,N.PrognosiRiservata,N.Deceduti
3804982,Roma,02-05-2018,15:30,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Buona,1,0,0,0
3804985,Roma,02-05-2018,09:05,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3804987,Roma,02-05-2018,21:20,Veicolo in marcia contro ostacolo fisso,,Sereno,Buona,1,0,0,0
3804993,Roma,02-05-2018,09:10,Veicolo in marcia contro ostacolo accidentale,,,,1,0,0,0
3804995,Roma,02-05-2018,08:40,Veicolo in marcia contro ostacolo accidentale,,,,1,0,0,0
3805003,Roma,02-05-2018,08:45,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Buona,1,0,0,0
3805008,Roma,02-05-2018,15:30,Veicolo in marcia contro veicolo in sosta,,Sereno,Buona,1,0,0,0
3805010,Roma,02-05-2018,08:30,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Sufficiente,1,0,0,0
3805013,Roma,02-05-2018,09:30,Scontro laterale fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3805014,Roma,02-05-2018,19:05,Investimento di pedone,,Sereno,Buona,1,1,0,0
3805015,Roma,02-05-2018,14:00,Ribaltamento senza urto contro ostacolo fisso,,Nuvoloso,Buona,0,2,0,0
3805018,Roma,02-05-2018,16:30,Scontro frontale/laterale SX fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3805025,Roma,03-05-2018,07:45,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Buona,1,0,0,0
3805033,Roma,03-05-2018,07:10,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,4,0,0,0
3805037,Roma,02-05-2018,16:05,Scontro frontale/laterale SX fra veicoli in marcia,,Nuvoloso,Buona,1,1,0,0
3805039,Roma,03-05-2018,01:07,Scontro laterale fra veicoli in marcia,,Sereno,Buona,0,4,0,0
3805042,Roma,02-05-2018,19:20,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3805053,Roma,02-05-2018,21:30,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,1,1,0,0
3805060,Roma,02-05-2018,14:40,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3805065,Roma,02-05-2018,15:00,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3805076,Roma,02-05-2018,12:00,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3805078,Roma,02-05-2018,11:00,Infortunio per caduta del veicolo,,Sereno,Buona,1,1,0,0
3805086,Roma,02-05-2018,08:40,Tamponamento,,Nuvoloso,Buona,2,0,0,0
3805088,Roma,02-05-2018,13:40,Tamponamento,,Nuvoloso,Buona,2,0,0,0
3805095,Roma,02-05-2018,08:20,Tamponamento Multiplo,,Nuvoloso,Buona,6,1,0,0
3805096,Roma,02-05-2018,15:00,Tamponamento,,Nuvoloso,Buona,1,1,0,0
3805098,Roma,02-05-2018,11:15,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Buona,2,1,0,0
3805102,Roma,02-05-2018,14:00,Veicolo in marcia contro veicolo in sosta,,Nuvoloso,Buona,1,0,0,0
3805104,Roma,02-05-2018,16:15,Tamponamento,,Nuvoloso,Buona,1,2,0,0
3805106,Roma,02-05-2018,21:10,Investimento di pedone,,Sereno,Sufficiente,1,1,0,0
3805109,Roma,02-05-2018,18:00,Veicolo in marcia contro ostacolo accidentale,,Sereno,Buona,2,0,0,0
3805118,Roma,02-05-2018,19:30,Investimento di pedone,,Sereno,Buona,3,0,0,0
3805132,Roma,03-05-2018,08:20,Scontro laterale fra veicoli in marcia,,Sereno,Buona,1,1,0,0
3805146,Roma,02-05-2018,23:52,Veicolo in marcia contro ostacolo fisso,,Sereno,Sufficiente,1,0,0,0
3805175,Roma,02-05-2018,08:40,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Buona,1,1,0,0
3805191,Roma,02-05-2018,18:45,Investimento di pedone,,Sereno,Buona,1,1,0,0
3805196,Roma,02-05-2018,12:00,Tamponamento,,Nuvoloso,Buona,1,1,0,0
3805210,Roma,02-05-2018,10:00,Scontro laterale fra veicoli in marcia,,,,2,0,0,0
3805222,Roma,02-05-2018,17:20,Tamponamento Multiplo,,Nuvoloso,Buona,3,0,0,0
3805283,Roma,02-05-2018,14:15,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3805295,Roma,03-05-2018,10:20,Tamponamento Multiplo,,Nuvoloso,Buona,2,1,0,0
3805326,Roma,02-05-2018,12:40,Tamponamento Multiplo,,Nuvoloso,Buona,3,0,0,0
3805358,Roma,02-05-2018,17:30,Veicoli in marcia contro veicolo fermo,,,,2,0,0,0
3805376,Roma,03-05-2018,08:45,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,1,0,0,0
3805424,Roma,03-05-2018,08:25,Tamponamento,,Nuvoloso,Buona,2,1,0,0
3805571,Roma,03-05-2018,00:05,Veicolo in marcia contro ostacolo accidentale,,Sereno,Sufficiente,2,0,0,0
3805597,Roma,03-05-2018,00:05,Veicolo in marcia contro ostacolo accidentale,,Sereno,Sufficiente,0,1,0,0
3805649,Roma,03-05-2018,03:05,Veicolo in marcia contro ostacolo accidentale,,Sereno,Sufficiente,1,0,0,0
3805651,Roma,03-05-2018,11:25,Investimento di pedone,,Nuvoloso,Buona,1,1,0,0
3805696,Roma,03-05-2018,15:00,Veicolo in marcia contro ostacolo fisso,,Nuvoloso,Buona,1,0,0,0
3805697,Roma,03-05-2018,14:20,Scontro frontale/laterale SX fra veicoli in marcia,,Pioggia in atto,Sufficiente,2,1,0,0
3805699,Roma,03-05-2018,13:02,Infortunio per sola frenata improvvisa,,Nuvoloso,Buona,1,0,0,0
3805714,Roma,02-05-2018,01:25,Veicolo in marcia contro ostacolo fisso,,Sereno,Sufficiente,1,0,0,0
3805722,Roma,03-05-2018,08:35,Scontro frontale/laterale SX fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3805733,Roma,03-05-2018,13:15,Scontro frontale/laterale SX fra veicoli in marcia,,Nuvoloso,Buona,1,1,0,0
3805753,Roma,03-05-2018,12:30,Tamponamento,,Nuvoloso,Buona,2,0,0,0
3805761,Roma,03-05-2018,15:35,Scontro frontale/laterale SX fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3805783,Roma,03-05-2018,14:35,Scontro frontale/laterale SX fra veicoli in marcia,,Pioggia in atto,Buona,1,1,0,0
3805786,Roma,03-05-2018,08:00,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,3,0,0,0
3805981,Roma,03-05-2018,17:40,Tamponamento,,Sereno,Sufficiente,1,1,0,0
3805987,Roma,03-05-2018,17:40,Scontro frontale fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3806034,Roma,03-05-2018,14:30,Veicoli in marcia contro veicolo fermo,,Pioggia in atto,Buona,2,1,0,0
3806041,Roma,03-05-2018,17:30,Infortunio per caduta del veicolo,,,,2,0,0,0
3806052,Roma,03-05-2018,15:10,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3806067,Roma,03-05-2018,14:15,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3806088,Roma,03-05-2018,12:30,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,2,1,0,0
3806437,Roma,03-05-2018,18:50,Veicolo in marcia contro veicolo in sosta,,Nuvoloso,Buona,1,0,0,0
3806440,Roma,03-05-2018,19:15,Scontro laterale fra veicoli in marcia,,Pioggia in atto,Buona,2,1,0,0
3806443,Roma,03-05-2018,20:45,Investimento di pedone,,Nuvoloso,Buona,2,1,0,0
3806458,Roma,03-05-2018,13:00,Scontro frontale fra veicoli in marcia,,Nuvoloso,Buona,4,0,0,0
3806459,Roma,03-05-2018,12:30,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Buona,3,1,0,0
3806462,Roma,03-05-2018,19:11,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3806463,Roma,03-05-2018,18:15,Scontro laterale fra veicoli in marcia,,Sereno,Buona,0,1,0,0
3806470,Roma,03-05-2018,17:20,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Buona,1,0,0,0
3806471,Roma,03-05-2018,09:00,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Buona,4,0,0,0
3806472,Roma,03-05-2018,08:30,Scontro frontale fra veicoli in marcia,,Nuvoloso,Buona,1,2,0,0
3806478,Roma,03-05-2018,18:56,Veicolo in marcia contro veicolo in sosta,,Nuvoloso,Buona,1,0,0,0
3806492,Roma,03-05-2018,10:45,Tamponamento,,Sereno,Buona,1,3,0,0
3806497,Roma,03-05-2018,21:04,Infortunio per caduta del veicolo,,Nuvoloso,Sufficiente,1,1,0,0
3806505,Roma,03-05-2018,15:20,Tamponamento,,Nuvoloso,Buona,1,1,0,0
3806515,Roma,03-05-2018,21:45,Investimento di pedone,,Nuvoloso,Buona,1,1,0,0
3806517,Roma,03-05-2018,18:30,Scontro laterale fra veicoli in marcia,,Pioggia in atto,Buona,3,0,0,0
3806518,Roma,03-05-2018,14:00,Tamponamento Multiplo,,Nuvoloso,Buona,3,1,0,0
3806537,Roma,03-05-2018,15:45,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,4,0,0,0
3806542,Roma,03-05-2018,16:30,Veicolo in marcia contro ostacolo accidentale,,Pioggia in atto,Sufficiente,0,1,0,0
3806545,Roma,03-05-2018,18:30,Tamponamento,,Pioggia in atto,Buona,2,0,0,0
3806546,Roma,03-05-2018,19:30,Tamponamento,,,,1,2,0,0
3806551,Roma,03-05-2018,11:20,Scontro laterale fra veicoli in marcia,,Pioggia in atto,Buona,1,1,0,0
3806552,Roma,03-05-2018,17:30,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,1,1,0,0
3806556,Roma,03-05-2018,15:35,Scontro frontale/laterale SX fra veicoli in marcia,,Nuvoloso,Buona,0,2,0,0
3806560,Roma,03-05-2018,13:10,Tamponamento,,Sereno,Buona,2,0,0,0
3806563,Roma,03-05-2018,21:30,Scontro laterale fra veicoli in marcia,,Nuvoloso,Sufficiente,2,1,0,0
3806564,Roma,03-05-2018,13:15,Veicolo in marcia contro ostacolo fisso,,,,0,1,0,0
3806565,Roma,03-05-2018,15:00,Tamponamento Multiplo,,Pioggia in atto,Buona,6,0,0,0
3806566,Roma,03-05-2018,16:30,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,1,1,0,0
3806573,Roma,04-05-2018,03:00,Veicolo in marcia contro ostacolo fisso,,Pioggia in atto,Sufficiente,0,1,1,0
3806575,Roma,03-05-2018,12:10,Investimento di pedone,,Pioggia in atto,Buona,2,1,0,0
3806576,Roma,03-05-2018,11:30,Veicolo in marcia contro ostacolo fisso,,Nuvoloso,Sufficiente,1,1,0,0
3806577,Roma,04-05-2018,07:20,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Sufficiente,2,0,0,0
3806582,Roma,03-05-2018,11:55,Scontro laterale fra veicoli in marcia,,Pioggia in atto,Sufficiente,3,1,0,0
3806588,Roma,03-05-2018,20:20,Investimento di pedone,,Pioggia in atto,Sufficiente,1,1,0,0
3806589,Roma,03-05-2018,07:10,Scontro frontale fra veicoli in marcia,,Nuvoloso,Sufficiente,0,2,0,0
3806593,Roma,03-05-2018,18:50,Scontro frontale/laterale DX fra veicoli in marcia,,Pioggia in atto,Buona,2,1,0,0
3806600,Roma,03-05-2018,06:25,Tamponamento,,Nuvoloso,Buona,2,0,0,0
3806606,Roma,01-05-2018,09:50,Veicolo in marcia contro ostacolo fisso,,Sereno,Buona,1,0,0,0
3806609,Roma,03-05-2018,21:45,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Sufficiente,4,0,0,0
3806619,Roma,03-05-2018,18:40,Scontro laterale fra veicoli in marcia,,Sereno,Buona,1,0,0,0
3806621,Roma,03-05-2018,23:30,Veicolo in marcia contro ostacolo fisso,,Pioggia in atto,Buona,0,1,0,0
3806630,Roma,03-05-2018,12:30,Veicolo in marcia contro ostacolo accidentale,,Sereno,Buona,1,0,0,0
3806631,Roma,03-05-2018,11:35,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Buona,2,1,0,0
3806636,Roma,03-05-2018,18:10,Veicolo in marcia contro veicoli in sosta,,Nuvoloso,Buona,1,0,0,0
3806650,Roma,03-05-2018,11:30,Veicolo in marcia contro ostacolo accidentale,,Pioggia in atto,Buona,1,0,0,0
3806654,Roma,02-05-2018,23:45,Veicolo in marcia contro ostacolo accidentale,,Sereno,Sufficiente,1,0,0,0
3806656,Roma,02-05-2018,14:20,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,3,0,0,0
3806657,Roma,03-05-2018,21:30,Veicolo in marcia contro ostacolo fisso,,Nuvoloso,Sufficiente,1,0,0,0
3806662,Roma,03-05-2018,12:30,Veicolo in marcia contro ostacolo fisso,,Nuvoloso,Buona,1,0,0,0
3806671,Roma,04-05-2018,07:20,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3806672,Roma,03-05-2018,11:10,Scontro laterale fra veicoli in marcia,,Sereno,Buona,2,1,0,0
3806676,Roma,03-05-2018,10:00,Scontro frontale/laterale SX fra veicoli in marcia,,Nuvoloso,Buona,2,1,0,0
3806677,Roma,02-05-2018,07:10,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Buona,1,2,0,0
3806693,Roma,03-05-2018,19:35,Tamponamento,,Pioggia in atto,Buona,1,1,0,0
3806703,Roma,03-05-2018,14:40,Scontro laterale fra veicoli in marcia,,,,2,0,0,0
3806706,Roma,03-05-2018,11:45,Veicolo in marcia contro veicoli in sosta,,Nuvoloso,Buona,1,0,0,0
3806709,Roma,03-05-2018,17:50,Tamponamento Multiplo,,Nuvoloso,Buona,3,0,0,0
3806717,Roma,03-05-2018,19:00,Scontro laterale fra veicoli in marcia,,Pioggia in atto,Sufficiente,2,0,0,0
3806722,Roma,03-05-2018,20:35,Investimento di pedone,,Pioggia in atto,Sufficiente,3,0,0,0
3806744,Roma,03-05-2018,18:30,Tamponamento Multiplo,,Pioggia in atto,Sufficiente,6,3,0,0
3806753,Roma,03-05-2018,17:15,Tamponamento Multiplo,,Pioggia in atto,Buona,3,1,0,0
3806775,Roma,03-05-2018,12:40,Scontro frontale/laterale DX fra veicoli in marcia,,Pioggia in atto,Buona,2,0,0,0
3806803,Roma,03-05-2018,11:30,Fuoriuscita dalla sede stradale,,Nuvoloso,Sufficiente,1,0,0,0
3806816,Roma,03-05-2018,18:10,Tamponamento,,Sereno,Buona,6,0,0,0
3806824,Roma,02-05-2018,14:30,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Sufficiente,1,0,0,0
3806870,Roma,03-05-2018,21:30,Veicolo in marcia contro veicolo in sosta,,,,1,0,0,0
3806876,Roma,02-05-2018,10:10,Tamponamento,,Nuvoloso,Buona,2,0,0,0
3806889,Roma,03-05-2018,16:30,Scontro frontale/laterale SX fra veicoli in marcia,,Pioggia in atto,Buona,2,1,0,0
3806892,Roma,04-05-2018,09:25,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3806910,Roma,04-05-2018,04:45,Veicolo in marcia contro ostacolo fisso,,Pioggia in atto,Sufficiente,1,0,0,0
3806911,Roma,03-05-2018,17:50,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Buona,3,0,0,0
3806963,Roma,03-05-2018,11:15,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Buona,1,0,0,0
3806972,Roma,04-05-2018,00:15,Veicolo in marcia contro ostacolo fisso,,Pioggia in atto,Sufficiente,1,0,0,0
