ID,Data,Ora,Tipo,Causa,Meteo,Visibilità,N.Illesi,N.Feriti,N.PrognosiRiservata,N.Deceduti
3762816,Roma,05-04-2018,05:30,Scontro frontale/laterale SX fra veicoli in marcia,,Pioggia in atto,Sufficiente,2,0,0,0
3762819,Roma,03-04-2018,14:10,Veicolo in marcia contro ostacolo accidentale,,Sereno,Buona,1,0,0,0
3762863,Roma,04-04-2018,12:20,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3762882,Roma,04-04-2018,14:30,Veicolo in marcia contro ostacolo accidentale,,Sereno,Buona,1,0,0,0
3762885,Roma,04-04-2018,12:30,Investimento di pedone,,Nuvoloso,Buona,1,1,0,0
3762893,Roma,04-04-2018,23:20,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Sufficiente,1,1,0,0
3762925,Roma,04-04-2018,14:50,Scontro laterale fra veicoli in marcia,,Sereno,Buona,0,1,0,0
3762926,Roma,04-04-2018,07:20,Scontro frontale/laterale DX fra veicoli in marcia,,Pioggia in atto,Buona,2,0,0,0
3762927,Roma,04-04-2018,21:40,Scontro laterale fra veicoli in marcia,,Pioggia in atto,Sufficiente,4,0,0,0
3762935,Roma,04-04-2018,16:10,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3762943,Roma,04-04-2018,16:40,Scontro laterale fra veicoli in marcia,,Sereno,Sufficiente,2,0,0,0
3762958,Roma,03-04-2018,04:40,Veicolo in marcia contro veicolo in sosta,,Sereno,Buona,2,0,0,0
3762960,Roma,04-04-2018,13:28,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,1,1,0,0
3762964,Roma,04-04-2018,17:30,Scontro laterale fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3762965,Roma,04-04-2018,15:40,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Buona,0,2,0,0
3762971,Roma,04-04-2018,10:20,Scontro frontale/laterale SX fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3762983,Roma,04-04-2018,15:30,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Buona,2,1,0,0
3762984,Roma,04-04-2018,11:50,Scontro frontale/laterale SX fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3762992,Roma,04-04-2018,16:30,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3763001,Roma,04-04-2018,18:00,Scontro laterale fra veicoli in marcia,,Sereno,Sufficiente,1,1,0,0
3763025,Roma,04-04-2018,06:10,Scontro frontale fra veicoli in marcia,,Nuvoloso,Buona,1,1,0,0
3763026,Roma,04-04-2018,06:00,Tamponamento Multiplo,,Pioggia in atto,Buona,5,0,0,0
