ID,Data,Ora,Tipo,Causa,Meteo,Visibilita,N.Illesi,N.Feriti,N.PrognosiRiservata,N.Deceduti
3710326,02-03-2018,19:10,Scontro laterale fra veicoli in marcia,,Sereno,Buona,4,0,0,0
3710332,03-03-2018,02:50,Veicolo in marcia contro ostacolo fisso,,Sereno,Buona,1,3,0,0
3710335,02-03-2018,16:00,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Buona,1,0,0,0
3710341,02-03-2018,11:20,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Buona,1,1,0,0
3710354,02-03-2018,20:30,Veicolo in marcia contro ostacolo accidentale,,Sereno,Buona,1,0,0,0
3710369,02-03-2018,02:15,Veicolo in marcia contro veicolo in sosta,,Nuvoloso,Buona,1,0,0,0
3710383,02-03-2018,22:50,Veicolo in marcia contro ostacolo accidentale,,Sereno,Buona,1,0,0,0
3710411,02-03-2018,13:50,Veicolo in marcia contro ostacolo accidentale,,Sereno,Buona,1,0,0,0
3710450,02-03-2018,19:05,Scontro laterale fra veicoli in marcia,,Nuvoloso,Sufficiente,3,0,0,0
3710452,02-03-2018,11:50,Veicolo in marcia contro ostacolo fisso,,Sereno,Buona,2,0,0,0
3710463,02-03-2018,20:45,Investimento di pedone,,Nuvoloso,Buona,1,0,0,1
3710476,02-03-2018,19:30,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3710504,03-03-2018,08:45,Scontro laterale fra veicoli in marcia,,Pioggia in atto,Buona,3,0,0,0
3710509,03-03-2018,02:55,Veicolo in marcia contro veicoli in sosta,,Nuvoloso,Buona,2,0,0,0
3710535,02-03-2018,09:50,Veicolo in marcia contro veicolo in sosta,,Nuvoloso,Sufficiente,1,1,0,0
3710676,03-03-2018,10:10,Investimento di pedone,,Pioggia in atto,Buona,1,2,0,0
3710693,02-03-2018,07:35,Scontro frontale/laterale SX fra veicoli in marcia,,Pioggia in atto,Buona,5,0,0,0
3710759,02-03-2018,08:25,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,3,0,0,0
3710771,02-03-2018,15:15,Veicolo in marcia contro ostacolo accidentale,,Sereno,Buona,1,0,0,0
3710775,03-03-2018,08:05,Veicolo in marcia contro ostacolo fisso,,,,1,0,0,0
3710777,02-03-2018,17:20,Scontro laterale fra veicoli in marcia,,Sereno,Sufficiente,2,0,0,0
3710787,02-03-2018,14:05,Veicolo in marcia contro ostacolo accidentale,,Sereno,Buona,1,0,0,0
3710804,02-03-2018,17:00,Veicolo in marcia contro veicolo fermo,,Sereno,Sufficiente,2,0,0,0
3710893,02-03-2018,16:20,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Buona,1,0,0,0
3710901,02-03-2018,16:30,Scontro laterale fra veicoli in marcia,,,,4,0,0,0
3710917,02-03-2018,09:40,Scontro frontale/laterale SX fra veicoli in marcia,,Nuvoloso,Buona,1,2,0,0
3710933,02-03-2018,14:00,Tamponamento,,Sereno,Sufficiente,2,0,0,0
3710942,02-03-2018,11:40,Veicolo in marcia contro ostacolo accidentale,,Sereno,Buona,1,0,0,0
3710966,02-03-2018,19:00,Scontro laterale fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3710991,02-03-2018,16:00,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Buona,2,0,0,0
3711096,02-03-2018,18:20,Scontro frontale fra veicoli in marcia,,Nuvoloso,Buona,3,2,0,0
3711109,03-03-2018,11:00,Veicolo in marcia contro veicolo in sosta,,Pioggia in atto,Buona,1,0,0,0
3711122,03-03-2018,09:00,Investimento di pedone,,Pioggia in atto,Buona,1,1,0,0
3711125,01-03-2018,07:55,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3711126,03-03-2018,09:53,Veicolo in marcia contro ostacolo fisso,,Pioggia in atto,Buona,1,0,0,0
3711130,03-03-2018,12:09,Scontro frontale fra veicoli in marcia,,Pioggia in atto,Sufficiente,2,0,0,0
3711190,01-03-2018,13:30,Ribaltamento senza urto contro ostacolo fisso,,Nuvoloso,Sufficiente,2,0,0,0
3711193,02-03-2018,14:15,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Buona,1,0,0,0
3711198,03-03-2018,17:05,Scontro laterale fra veicoli in marcia,,Sereno,Buona,5,0,0,0
3711208,03-03-2018,00:30,Veicolo in marcia contro veicoli in sosta,,Sereno,Buona,1,0,0,0
3711228,01-03-2018,19:50,Tamponamento,,Nuvoloso,Sufficiente,2,1,0,0
3711252,01-03-2018,19:55,Veicolo in marcia contro veicoli in sosta,,Nuvoloso,Sufficiente,1,0,0,0
3711520,04-03-2018,05:20,Scontro laterale fra veicoli in marcia,,Sereno,Buona,1,1,0,0
3711586,04-03-2018,00:05,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Sufficiente,2,0,0,0
3711589,03-03-2018,15:45,Tamponamento Multiplo,,Sereno,Buona,4,1,0,0
3711592,03-03-2018,11:30,Tamponamento,,Pioggia in atto,Buona,2,0,0,0
3711593,03-03-2018,10:00,Fuoriuscita dalla sede stradale,,,,0,1,0,0
3711594,03-03-2018,20:30,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Sufficiente,1,0,0,0
3711595,03-03-2018,18:50,Veicolo in marcia contro ostacolo accidentale,,Sereno,Insufficiente,1,0,0,0
3711596,04-03-2018,00:50,Veicolo in marcia contro ostacolo accidentale,,Sereno,Insufficiente,1,0,0,0
3711599,03-03-2018,19:30,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Sufficiente,2,0,0,0
3711600,03-03-2018,19:35,Veicolo in marcia contro ostacolo accidentale,,,,1,0,0,0
3711601,03-03-2018,20:50,Veicolo in marcia contro ostacolo accidentale,,,,1,0,0,0
3711602,03-03-2018,20:55,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Sufficiente,1,0,0,0
3711637,03-03-2018,20:00,Tamponamento Multiplo,,Nuvoloso,Buona,9,4,0,0
3711642,04-03-2018,01:40,Veicolo in marcia contro veicoli in sosta,,Nuvoloso,Buona,1,0,0,0
3711686,03-03-2018,08:10,Scontro laterale fra veicoli in marcia,,Pioggia in atto,Sufficiente,2,0,0,0
3711712,03-03-2018,19:00,Veicolo in marcia contro ostacolo fisso,,Sereno,Buona,1,0,0,0
3711730,03-03-2018,08:45,Scontro laterale fra veicoli in marcia,,Pioggia in atto,Buona,5,0,0,0
3711742,03-03-2018,17:30,Scontro laterale fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3711761,02-03-2018,01:15,Veicolo in marcia contro ostacolo fisso,,Nuvoloso,Sufficiente,1,0,0,0
