ID,Modello,Targa,Tipo veicolo
3808367,Motociclo a solo,,
3808401,Motociclo a solo,,
3808401,Autovettura privata,,
3808406,Autovettura privata,,
3808406,Autovettura privata,,
3808406,Autovettura privata,,
3808496,Autovettura privata,,
3808496,Autovettura privata,,
3808496,Autovettura privata,,
3808496,Autovettura privata,,
3808549,Autovettura privata,,
3808549,Motociclo a solo,,
3808589,Autovettura privata,,
3808589,Autovettura privata,,
3808589,Autovettura privata,,
3808672,Autovettura privata,,
3808683,Autovettura privata,,
3808683,Autovettura privata,,
3808683,Autovettura privata,,
3808683,Autovettura privata,,
3808683,Autovettura privata,,
3808684,Autovettura privata,,
3808685,Motociclo con passeggero,,
3808685,Motociclo con passeggero,,
3808685,Autocarro inferiore 35 q.,,
3808687,,,
3808687,Motociclo a solo,,
3808689,Autovettura privata,,
3808689,Autovettura privata,,
3808691,Quadriciclo,,
3808691,Motociclo a solo,,
3808694,Autovettura privata,,
3808694,Autovettura privata,,
3808697,Autovettura privata,,
3808697,Autovettura privata,,
3808697,Autovettura privata,,
3808697,Motociclo a solo,,
3808697,Motociclo a solo,,
3808700,Autovettura privata,,
3808700,Autovettura privata,,
3808700,Motociclo con passeggero,,
3808700,Motociclo con passeggero,,
3808702,,,
3808702,Autovettura privata,,
3808705,Autovettura privata,,
3808705,Motociclo a solo,,
3808707,Autovettura privata,,
3808707,Autovettura privata,,
3808707,Autovettura privata,,
3808707,Autovettura privata,,
3808707,Autovettura privata,,
3808709,Autovettura privata,,
3808709,Autovettura privata,,
3808709,Autovettura privata,,
3808710,Autovettura privata,,
3808759,Autovettura privata,,
3808771,Motociclo a solo,,
3808801,Ciclomotore con passeggero,,
3808801,Ciclomotore con passeggero,,
3808826,Autovettura privata,,
3808826,Autovettura privata,,
3808834,Autovettura privata,,
3808834,Autovettura privata,,
3808834,Autovettura privata,,
3808861,Autovettura privata,,
3808861,Autovettura privata,,
3808861,Autobus turistico,,
3808861,Autobus turistico,,
3808863,Autovettura privata,,
3808863,Autovettura privata,,
3808863,Motociclo a solo,,
3808897,Autovettura privata,,
3808897,Motociclo a solo,,
3809005,Autovettura privata,,
3809005,Autovettura privata,,
3809048,Autovettura privata,,
3809048,Autovettura privata,,
3809048,Autovettura privata,,
3809052,Autovettura privata,,
3809052,Motociclo a solo,,
3809052,Autovettura privata,,
3809509,Autovettura privata,,
3809509,Autovettura privata,,
3809514,Autovettura privata,,
3809514,Autovettura privata,,
3809514,Autovettura privata,,
3809880,Autovettura privata,,
3809887,Autovettura privata,,
3809894,Motociclo a solo,,
3809894,Motociclo a solo,,
3809907,Autovettura privata,,
3810415,Autovettura privata,,
3810415,Autovettura privata,,
3810415,Motociclo a solo,,
3810425,Motociclo a solo,,
3810433,Autovettura privata,,
3810433,Motociclo a solo,,
3810441,Motociclo a solo,,
3810441,Autocarro inferiore 35 q.,,
3810441,Autocarro inferiore 35 q.,,
3810441,Autovettura privata,,
3810453,Autovettura privata,,
3810453,Autovettura privata,,
3810454,Autovettura privata,,
3810458,Autovettura privata,,
3810458,Autovettura privata,,
