Data;Ora;Luogo;Incidenti;Feriti;X;Y
2018-01-10;14:00;VIA PARATORE GIUSEPPE ;F;1;13,373888;38,094061
2018-01-10;15:00;VIA ARIOSTO LUDOVICO ;F;1;13,345702;38,134309
2018-01-10;23:15;VIA DI MARCO DOMENICO ;F;1;13,343883;38,14094
2018-01-10;22:15;VIA BONANNO PIETRO ;F;2;13,364516;38,152623
2018-01-11;04:00;PIAZZA TURBA EUCLIDE GEN. ;F;1;13,338012;38,100884
2018-01-09;08:40;VIALE REGIONE SICILIANA ;C;;13,330562;38,139689
2018-01-08;08:15;VIA BASILE ERNESTO ;C;;13,353006;38,10676
2018-01-10;16:10;PIAZZA GIULIO CESARE ;C;;13,366811;38,110814
2018-01-10;16:00;VIA DELL'ORSA MINORE ;F;1;13,371611;38,096676
2018-01-11;12:30;VIALE GALILEO GALILEI ;F;1;13,332131;38,137679
2018-01-10;16:00;VIALE STRASBURGO ;C;;13,323381;38,159894
2018-01-10;22:25;CORSO CALATAFIMI ;C;;13,321598;38,099547
2018-01-10;09:35;VIA PEREZ FRANCESCO PAOLO ;C;;13,365121;38,10791
2018-01-11;13:15;VIA CARTAGINE ;C;;13,304172;38,125186
2018-01-11;16:00;FORO UMBERTO I ;F;1;13,377788;38,11303
2018-01-11;17:15;VIA ROMA ;F;1;13,362546;38,118429
2018-01-11;15:50;VIALE REGIONE SICILIANA N.O. ;F;1;13,329765;38,132489
2018-01-12;06:35;VIA LA COLLA FRANCESCO ;F;3;13,372784;38,101053
2018-01-12;10:50;VIA BERNINI GIAN LORENZO ;F;1;13,328822;38,131862
2018-01-12;12:05;VIALE REGIONE SICILIANA N.O. ;F;1;13,329378;38,125194
2018-01-12;16:40;VIALE REGIONE SICILIANA S.E. ;C;;13,330394;38,103213
2018-01-12;19:15;VIALE REGIONE SICILIANA S.E. ;F;1;13,336006;38,096484
2018-01-12;20:00;CORSO CALATAFIMI ;F;1;13,326529;38,101566
2018-01-13;02:40;VIA PACINOTTI ANTONIO ;F;3;13,335398;38,128704
2018-01-13;08:15;VIALE REGIONE SICILIANA ;F;1;13,328739;38,120432
2018-01-13;10:45;VIALE EMILIA ;F;1;13,33993;38,147108
2018-01-13;16:00;VIA DON ORIONE ;C;;13,361826;38,142761
