ID,Via,Coordinate,Fondo Stradale,Pavimentazione,Illuminazione,Data,Ora,Tipo,Meteo,Visibilita,N. Illesi,N. Feriti,N. Prognosi Riservata,N. Deceduti
3641099,VIA DELLA SOLFARATA,"(41.70648,12.54575)",Asciutto,Asfaltata,Ore Diurne,10/01/2018,15:00,Scontro laterale fra veicoli in marcia,Sereno,Buona,4,0,0,0
3641135,VIA IPOGEO DEGLI OTTAVI,"(41.96745,12.40845)",Bagnato (pioggia),Asfaltata,Ore Diurne,16/01/2018,11:30,Veicolo in marcia contro ostacolo accidentale,Nuvoloso,Buona,1,1,0,0
3641173,VIA LISZT,"(41.83383,12.46862)",Bagnato (pioggia),Asfaltata,Ore Diurne,11/01/2018,12:00,Infortunio per sola frenata improvvisa,Pioggia in atto,Buona,2,0,0,0
3641182,VIALE PROSPERO COLONNA,"(41.85614,12.45192)",Bagnato (pioggia),Asfaltata,Ore Diurne,16/01/2018,12:30,Investimento di pedone,Pioggia in atto,Buona,1,2,0,0
3641223,VIA ALBERTO DA GIUSSANO,"(41.88882,12.53485)",Bagnato (pioggia),Asfaltata,Ore Diurne,16/01/2018,10:55,Scontro frontale/laterale DX fra veicoli in marcia,Nuvoloso,Buona,2,0,0,0
3641238,VIA DEI DUE PONTI,"(41.96587,12.4695)",Bagnato (pioggia),Asfaltata,Sufficiente,16/01/2018,13:00,Scontro frontale fra veicoli in marcia,Pioggia in atto,Buona,0,3,0,0
3641302,VIALE DI VALLE AURELIA,"(41.90358,12.43711)",Bagnato (pioggia),Asfaltata,Ore Diurne,16/01/2018,12:30,Scontro frontale/laterale SX fra veicoli in marcia,Pioggia in atto,Buona,1,1,0,0
3641322,VIA AURELIA ANTICA,"(41.89016,12.4346)",Bagnato (pioggia),Asfaltata,Sufficiente,15/01/2018,23:15,Scontro frontale/laterale SX fra veicoli in marcia,Pioggia in atto,Buona,3,0,0,0
3641341,VIA GIACINTO CARINI,"(,)",,,,15/01/2018,11:10,Tamponamento,,,1,0,0,0
3641354,VIA DELLA PISANA,"(41.87646,12.41453)",Bagnato (pioggia),Asfaltata,Sufficiente,15/01/2018,18:30,Scontro laterale fra veicoli in marcia,Pioggia in atto,Buona,2,0,0,0
3641398,VIA TUSCOLANA,"(41.8592,12.55764)",Bagnato (pioggia),Asfaltata,Ore Diurne,16/01/2018,14:15,Investimento di pedone,Nuvoloso,Buona,0,2,0,0
3641400,VIA CARLO AVOLIO,"(41.79002,12.4433)",Bagnato (umidit? in atto),Asfaltata,Ore Diurne,10/01/2018,07:40,Veicolo in marcia contro ostacolo accidentale,Sereno,Buona,1,0,0,0
3641417,PIAZZA DEL RISORGIMENTO,"(41.90632,12.45881)",Asciutto,Asfaltata,Ore Diurne,16/01/2018,06:15,Scontro laterale fra veicoli in marcia,Sereno,Buona,3,0,0,0
3641473,VIA GIULIO CESARE CORDARA,"(41.86882,12.52466)",Bagnato (pioggia),Asfaltata,Ore Diurne,16/01/2018,13:45,Veicolo in marcia contro treno,Nuvoloso,Buona,2,0,0,0
3641475,VIA DI PORTA CASTELLO,"(41.90482,12.46329)",Bagnato (pioggia),Asfaltata,Ore Diurne,16/01/2018,10:00,Scontro frontale/laterale SX fra veicoli in marcia,Pioggia in atto,Buona,2,0,0,0
