ID,Citta',Via,FondoStradale,Pavimentazione,Illuminazione
3854484,Roma,CORSO DUCA DI GENOVA,Asciutto,Asfaltata,Ore Diurne
3854484,Roma,CORSO DUCA DI GENOVA,Asciutto,Asfaltata,Ore Diurne
3854484,Roma,CORSO DUCA DI GENOVA,Asciutto,Asfaltata,Ore Diurne
3854489,Roma,VIA TUSCOLANA,Asciutto,Asfaltata,Ore Diurne
3854489,Roma,VIA TUSCOLANA,Asciutto,Asfaltata,Ore Diurne
3854489,Roma,VIA TUSCOLANA,Asciutto,Asfaltata,Ore Diurne
3854496,Roma,VIA APPIA NUOVA,Asciutto,Asfaltata,Ore Diurne
3854496,Roma,VIA APPIA NUOVA,Asciutto,Asfaltata,Ore Diurne
3854496,Roma,VIA APPIA NUOVA,Asciutto,Asfaltata,Ore Diurne
3854496,Roma,VIA APPIA NUOVA,Asciutto,Asfaltata,Ore Diurne
3854496,Roma,VIA APPIA NUOVA,Asciutto,Asfaltata,Ore Diurne
3854505,Roma,VIA FRANCESCO CARACCIOLO,Asciutto,Asfaltata,Sufficiente
3854505,Roma,VIA FRANCESCO CARACCIOLO,Asciutto,Asfaltata,Sufficiente
3854505,Roma,VIA FRANCESCO CARACCIOLO,Asciutto,Asfaltata,Sufficiente
3854513,Roma,VIA DEL FORO ITALICO,Asciutto,Asfaltata,Ore Diurne
3854553,Roma,VIA DI CASTEL FUSANO,Asciutto,Asfaltata,Ore Diurne
3854553,Roma,VIA DI CASTEL FUSANO,Asciutto,Asfaltata,Ore Diurne
3854553,Roma,VIA DI CASTEL FUSANO,Asciutto,Asfaltata,Ore Diurne
3854606,Roma,VIA APPIA NUOVA,,,
3854606,Roma,VIA APPIA NUOVA,,,
3854655,Roma,VIALE DEI ROMAGNOLI,Asciutto,Asfaltata,Ore Diurne
3854655,Roma,VIALE DEI ROMAGNOLI,Asciutto,Asfaltata,Ore Diurne
3854664,Roma,VIA PO,Asciutto,Asfaltata,Ore Diurne
3854664,Roma,VIA PO,Asciutto,Asfaltata,Ore Diurne
3854690,Roma,VIALE DELLO SCALO S. LORENZO,,,
3854690,Roma,VIALE DELLO SCALO S. LORENZO,,,
3854695,Roma,VIALE DELLO SCALO S. LORENZO,Asciutto,Asfaltata,Ore Diurne
3854695,Roma,VIALE DELLO SCALO S. LORENZO,Asciutto,Asfaltata,Ore Diurne
3854707,Roma,VIA TUSCOLANA,Asciutto,Asfaltata,Ore Diurne
3854707,Roma,VIA TUSCOLANA,Asciutto,Asfaltata,Ore Diurne
3854725,Roma,VIA BRUNO MOLAJOLI,Asciutto,Asfaltata,Ore Diurne
3854725,Roma,VIA BRUNO MOLAJOLI,Asciutto,Asfaltata,Ore Diurne
3854757,Roma,VIA GREGORIO ALLEGRI,Asciutto,Asfaltata,Ore Diurne
3854757,Roma,VIA GREGORIO ALLEGRI,Asciutto,Asfaltata,Ore Diurne
3854757,Roma,VIA GREGORIO ALLEGRI,Asciutto,Asfaltata,Ore Diurne
3854778,Roma,VIA TRIPOLI,Asciutto,Asfaltata,Ore Diurne
3854778,Roma,VIA TRIPOLI,Asciutto,Asfaltata,Ore Diurne
3854778,Roma,VIA TRIPOLI,Asciutto,Asfaltata,Ore Diurne
3854778,Roma,VIA TRIPOLI,Asciutto,Asfaltata,Ore Diurne
3854806,Roma,VIA CASSIA,Asciutto,Asfaltata,Ore Diurne
3854806,Roma,VIA CASSIA,Asciutto,Asfaltata,Ore Diurne
3854806,Roma,VIA CASSIA,Asciutto,Asfaltata,Ore Diurne
3854810,Roma,VIA DEL MARE,Asciutto,Asfaltata,Ore Diurne
3854873,Roma,VIA TUSCOLANA,Asciutto,Asfaltata,Ore Diurne
3854873,Roma,VIA TUSCOLANA,Asciutto,Asfaltata,Ore Diurne
3854876,Roma,PONTE GUGLIELMO MARCONI,,,
3854876,Roma,PONTE GUGLIELMO MARCONI,,,
3854876,Roma,PONTE GUGLIELMO MARCONI,,,
3854879,Roma,VIA PRENESTINA,Asciutto,Asfaltata,Ore Diurne
3854879,Roma,VIA PRENESTINA,Asciutto,Asfaltata,Ore Diurne
3854879,Roma,VIA PRENESTINA,Asciutto,Asfaltata,Ore Diurne
3854982,Roma,VIALE S. GIOVANNI BOSCO,Asciutto,Asfaltata,Ore Diurne
3854982,Roma,VIALE S. GIOVANNI BOSCO,Asciutto,Asfaltata,Ore Diurne
3855479,Roma,VIA APPIA NUOVA,Asciutto,Asfaltata,Ore Diurne
3855479,Roma,VIA APPIA NUOVA,Asciutto,Asfaltata,Ore Diurne
3855479,Roma,VIA APPIA NUOVA,Asciutto,Asfaltata,Ore Diurne
3855479,Roma,VIA APPIA NUOVA,Asciutto,Asfaltata,Ore Diurne
3855480,Roma,VIA AOSTA,Asciutto,Asfaltata,Ore Diurne
3855480,Roma,VIA AOSTA,Asciutto,Asfaltata,Ore Diurne
3855480,Roma,VIA AOSTA,Asciutto,Asfaltata,Ore Diurne
3855490,Roma,VIA DEI MONTI TIBURTINI,Asciutto,Asfaltata,Ore Diurne
3855490,Roma,VIA DEI MONTI TIBURTINI,Asciutto,Asfaltata,Ore Diurne
3855490,Roma,VIA DEI MONTI TIBURTINI,Asciutto,Asfaltata,Ore Diurne
3855490,Roma,VIA DEI MONTI TIBURTINI,Asciutto,Asfaltata,Ore Diurne
3855491,Roma,VIA TUSCOLANA,,,
3855491,Roma,VIA TUSCOLANA,,,
3855491,Roma,VIA TUSCOLANA,,,
3855493,Roma,LARGO PANNONIA,Asciutto,Asfaltata,Sufficiente
3855493,Roma,LARGO PANNONIA,Asciutto,Asfaltata,Sufficiente
3855495,Roma,VIA VINCENZO GIUDICE,Asciutto,Asfaltata,Sufficiente
3855495,Roma,VIA VINCENZO GIUDICE,Asciutto,Asfaltata,Sufficiente
3855499,Roma,VIA PRENESTINA,Asciutto,Asfaltata,Sufficiente
3855499,Roma,VIA PRENESTINA,Asciutto,Asfaltata,Sufficiente
3855501,Roma,VIA PIEVEBOVIGLIANA,Asciutto,Asfaltata,Sufficiente
3855501,Roma,VIA PIEVEBOVIGLIANA,Asciutto,Asfaltata,Sufficiente
3855503,Roma,VIA BORGHESIANA,Asciutto,Asfaltata,Ore Diurne
3855508,Roma,VIA BORGHESIANA,Asciutto,Asfaltata,Ore Diurne
3855508,Roma,VIA BORGHESIANA,Asciutto,Asfaltata,Ore Diurne
3855510,Roma,VIA DI TORRENOVA,,,
3855512,Roma,VIA GABRINO FONDULO,Asciutto,Asfaltata,Ore Diurne
3855512,Roma,VIA GABRINO FONDULO,Asciutto,Asfaltata,Ore Diurne
3855521,Roma,VIA DI ACQUA BULLICANTE,Asciutto,Asfaltata,Sufficiente
3855521,Roma,VIA DI ACQUA BULLICANTE,Asciutto,Asfaltata,Sufficiente
3855521,Roma,VIA DI ACQUA BULLICANTE,Asciutto,Asfaltata,Sufficiente
3855521,Roma,VIA DI ACQUA BULLICANTE,Asciutto,Asfaltata,Sufficiente
3855526,Roma,VIA CASILINA,Asciutto,Asfaltata,Ore Diurne
3855532,Roma,VIA CALIMERA,Asciutto,Asfaltata,Ore Diurne
3855532,Roma,VIA CALIMERA,Asciutto,Asfaltata,Ore Diurne
3855532,Roma,VIA CALIMERA,Asciutto,Asfaltata,Ore Diurne
3855532,Roma,VIA CALIMERA,Asciutto,Asfaltata,Ore Diurne
3855532,Roma,VIA CALIMERA,Asciutto,Asfaltata,Ore Diurne
3855539,Roma,VIA DELL'ACQUA VERGINE,Asciutto,Asfaltata,Ore Diurne
3855539,Roma,VIA DELL'ACQUA VERGINE,Asciutto,Asfaltata,Ore Diurne
3855540,Roma,VIA DEL FUOCO SACRO,Asciutto,Asfaltata,Ore Diurne
3855540,Roma,VIA DEL FUOCO SACRO,Asciutto,Asfaltata,Ore Diurne
3855543,Roma,VIA OSTIENSE,Asciutto,Asfaltata,Ore Diurne
3855543,Roma,VIA OSTIENSE,Asciutto,Asfaltata,Ore Diurne
3855543,Roma,VIA OSTIENSE,Asciutto,Asfaltata,Ore Diurne
3855543,Roma,VIA OSTIENSE,Asciutto,Asfaltata,Ore Diurne
3855543,Roma,VIA OSTIENSE,Asciutto,Asfaltata,Ore Diurne
3855547,Roma,VIA MASSA DI SAN GIULIANO,Asciutto,Asfaltata,Ore Diurne
3855550,Roma,VIA CASILINA,Asciutto,Asfaltata,Ore Diurne
3855550,Roma,VIA CASILINA,Asciutto,Asfaltata,Ore Diurne
3855559,Roma,VIALE FRANCESCO CALTAGIRONE,Asciutto,Asfaltata,Ore Diurne
3855570,Roma,VIA ORIOLO ROMANO,Asciutto,Asfaltata,Ore Diurne
3855570,Roma,VIA ORIOLO ROMANO,Asciutto,Asfaltata,Ore Diurne
3855573,Roma,VIA BENIAMINO FIAMMA,Asciutto,Asfaltata,Ore Diurne
3855573,Roma,VIA BENIAMINO FIAMMA,Asciutto,Asfaltata,Ore Diurne
3855574,Roma,VIA DI ACQUA ACETOSA OSTIENSE,Asciutto,Asfaltata,Sufficiente
3855578,Roma,VIA ROBERTO SCOTT,Asciutto,Asfaltata,Ore Diurne
3855578,Roma,VIA ROBERTO SCOTT,Asciutto,Asfaltata,Ore Diurne
3855578,Roma,VIA ROBERTO SCOTT,Asciutto,Asfaltata,Ore Diurne
3855578,Roma,VIA ROBERTO SCOTT,Asciutto,Asfaltata,Ore Diurne
