ID,Citta,Via,FondoStradale,Pavimentazione,Illuminazione,Coordinate
035201712151240107,Bergamo, VIA ZANICA all'intersezione con VIA FURIETTI,,,,"(45.6856, 9.6732)"
035201712151030108,Bergamo, VIA SAN COLOMBANO in corrispondenza del civico n.5,,,,"(45.7187, 9.6714)"
035201712151750109,Bergamo, VIA EINAUDI in prossimità del civico n.7,,,,"(45.714, 9.6771)"
035201712151645110,Bergamo, Circonvallazione delle Valli prossimità via Gleno direzione Lecco,,,,"(45.7012, 9.696)"
035201712141440111,Bergamo, CARDUCCI all'intersezione semaforizzata con VIA SALVO D'ACQUISTO,,,,"(45.6892, 9.6469)"
035201712140850112,Bergamo, ROTATORIA AUTOSTRADA all'intersezione con RACCORDO CASELLI AUTOSTRADA,,,,"(45.6757, 9.6688)"
035201712141300113,Bergamo, ROTATORIA SAN BERNARDINO all'intersezione semaforizzata con CIRCONV. POMPINIANO,,,,"(45.6759, 9.6614)"
035201712141000114,Bergamo, VIA DE SAUSSURE XXXX,,,,"(45.6769, 9.6721)"
035201712140840115,Bergamo, LARGO PORTA NUOVA all'intersezione semaforizzata con VIA TIRABOSCHI,,,,"(45.6942, 9.6708)"
035201712140710116,Bergamo, VIA PAPA LEONE XIII all'intersezione con VIA BERLESE A.,,,,"(45.7102, 9.6933)"
035201712141815117,Bergamo, VIA PALEOCAPA all'intersezione semaforizzata con VIA QUARENGHI,,,,"(45.6895, 9.6692)"
035201712140755118,Bergamo, VIA FRIZZONI in corrispondenza del civico n.8,,,,"(45.6989, 9.6778)"
035201712141240119,Bergamo, VIALE GIULIO CESARE all'intersezione con VIA BUTTARO,,,,"(45.711, 9.6835)"
035201712131000120,Bergamo, ROTATORIA CARDUCCI all'intersezione con VIA LEOPARDI,,,,"(45.6983, 9.6773)"
035201712131200121,Bergamo, VIA MORONI GIANBATTISTA in corrispondenza del civico n.330,,,,"(45.684, 9.6563)"
035201712131030122,Bergamo, AUTOSTRADA prossimità intersezione con via Magrini,,,,"(45.6742, 9.6689)"
035201712131730123,Bergamo, VIA GRUMELLO all'intersezione con VIA AI CAMPI SPINI,,,,"(45.6752, 9.6453)"
035201712121110124,Bergamo, VIA BAIONI in prossimità del civico n.6,,,,"(45.7062, 9.6775)"
035201712121044125,Bergamo, VIALE PAPA GIOVANNI XXIII in prossimità del civico n.80,,,,"(45.6926, 9.6725)"
035201712121745126,Bergamo, VIA PALMA IL VECCHIO all'intersezione con SAN LAZZARO,,,,"(45.6904, 9.6605)"
035201712120745127,Bergamo, VIA MAZZINI all'intersezione semaforizzata con VIA XXIV MAGGIO,,,,"(45.696, 9.6525)"
035201712121005128,Bergamo, VIA GAVAZZENI in prossimità del civico n.13,,,,"(45.6883, 9.6774)"
035201712121815129,Bergamo, VIA GRUMELLO all'intersezione con VIA AI CAMPI SPINI,,,,"(45.6751, 9.6454)"
035201712121700130,Bergamo, VIA BAIONI in corrispondenza del civico n.18,,,,"(45.7072, 9.6767)"
035201712121645131,Bergamo, VIA GARIBALDI in prossimità del civico n.23,,,,"(45.6957, 9.6612)"
035201712110015132,Bergamo, LARGO DECORATI AL VALOR CIVILE all'intersezione con VIA DEI BERSAGLIERI,,,,"(45.7038, 9.6937)"
035201712111435133,Bergamo, VIA MONTE CORNAGERA all'intersezione con VIA ROVELLI,,,,"(45.689, 9.6947)"
035201712112300134,Bergamo, ROTATORIA VIA PER ORIO SOTTOPASSO 671,,,,"(45.6764, 9.6846)"
035201712111325135,Bergamo, VIA PETRARCA in prossimità del civico n.5,,,,"(45.6968, 9.6692)"
035201712111935136,Bergamo, VIA GAVAZZENI in prossimità del civico n.21,,,,"(45.6888, 9.679)"
