ID,Citta',Via,FondoStradale,Pavimentazione,Illuminazione,Coordinate
3645732,Roma,VIA DRUSO,Bagnato (umidit? in atto),Asfaltata,Sufficiente,"(12.49682,41.88056)"
3645734,Roma,VIA DI CASAL BOCCONE,Asciutto,Asfaltata,Ore Diurne,"(12.56059,41.95254)"
3645734,Roma,VIA DI CASAL BOCCONE,Asciutto,Asfaltata,Ore Diurne,"(12.56059,41.95254)"
3645734,Roma,VIA DI CASAL BOCCONE,Asciutto,Asfaltata,Ore Diurne,"(12.56059,41.95254)"
3645735,Roma,VIA ALGAJOLA,Asciutto,Asfaltata,Ore Diurne,"(12.2918,41.72657)"
3645735,Roma,VIA ALGAJOLA,Asciutto,Asfaltata,Ore Diurne,"(12.2918,41.72657)"
3645736,Roma,VIA DI TOR CERVARA,Asciutto,Asfaltata,Sufficiente,"(12.58889,41.90664)"
3645736,Roma,VIA DI TOR CERVARA,Asciutto,Asfaltata,Sufficiente,"(12.58889,41.90664)"
3645738,Roma,PIAZZA FRANCESCO CONTEDUCA,Asciutto,Asfaltata,Sufficiente,"(12.28805,41.73568)"
3645738,Roma,PIAZZA FRANCESCO CONTEDUCA,Asciutto,Asfaltata,Sufficiente,"(12.28805,41.73568)"
3645739,Roma,VIA CASSIA,Asciutto,Asfaltata,Ore Diurne,"(12.40581,41.98602)"
3645739,Roma,VIA CASSIA,Asciutto,Asfaltata,Ore Diurne,"(12.40581,41.98602)"
3645739,Roma,VIA CASSIA,Asciutto,Asfaltata,Ore Diurne,"(12.40581,41.98602)"
3645742,Roma,VIA DELLA CAMILLUCCIA,Asciutto,Asfaltata,Sufficiente,"(12.4551,41.94934)"
3645742,Roma,VIA DELLA CAMILLUCCIA,Asciutto,Asfaltata,Sufficiente,"(12.4551,41.94934)"
3645753,Roma,VIALE PALMIRO TOGLIATTI,Asciutto,Asfaltata,Ore Diurne,"(12.57334,41.88718)"
3645753,Roma,VIALE PALMIRO TOGLIATTI,Asciutto,Asfaltata,Ore Diurne,"(12.57334,41.88718)"
3645772,Roma,VIA DI TORREVECCHIA,Asciutto,Asfaltata,Sufficiente,"(12.4129,41.92376)"
3645774,Roma,VIALE DI TOR DI QUINTO,Bagnato (pioggia),Asfaltata,Sufficiente,"(12.48573,41.94426)"
3645781,Roma,VIA CASILINA,Asciutto,Asfaltata,Ore Diurne,"(12.57632,41.87214)"
3645781,Roma,VIA CASILINA,Asciutto,Asfaltata,Ore Diurne,"(12.57632,41.87214)"
3645797,Roma,VIALE PALMIRO TOGLIATTI,Asciutto,Asfaltata,Sufficiente,"(12.57261,41.87733)"
3645797,Roma,VIALE PALMIRO TOGLIATTI,Asciutto,Asfaltata,Sufficiente,"(12.57261,41.87733)"
3645804,Roma,VIALE DELLE TERME DI CARACALLA,Bagnato (umidit? in atto),Asfaltata,Sufficiente,"(12.49546,41.87894)"
3645804,Roma,VIALE DELLE TERME DI CARACALLA,Bagnato (umidit? in atto),Asfaltata,Sufficiente,"(12.49546,41.87894)"
3645836,Roma,VIA DI MACCHIA SAPONARA,Asciutto,Asfaltata,Ore Diurne,"(12.35556,41.77069)"
3645836,Roma,VIA DI MACCHIA SAPONARA,Asciutto,Asfaltata,Ore Diurne,"(12.35556,41.77069)"
3645836,Roma,VIA DI MACCHIA SAPONARA,Asciutto,Asfaltata,Ore Diurne,"(12.35556,41.77069)"
3645837,Roma,VIA PUSIANO,Asciutto,Asfaltata,Ore Diurne,"(12.51442,41.92481)"
3645837,Roma,VIA PUSIANO,Asciutto,Asfaltata,Ore Diurne,"(12.51442,41.92481)"
3645839,Roma,VIA LISBONA,Asciutto,Asfaltata,Ore Diurne,"(12.49677,41.92423)"
3645839,Roma,VIA LISBONA,Asciutto,Asfaltata,Ore Diurne,"(12.49677,41.92423)"
3645839,Roma,VIA LISBONA,Asciutto,Asfaltata,Ore Diurne,"(12.49677,41.92423)"
