ID,Citta',Via,FondoStradale,Pavimentazione,Illuminazione
3709865,Roma,VIALE REGINA MARGHERITA,Asciutto,Asfaltata,Ore Diurne
3709875,Roma,VIA DEL FOSSO DI DRAGONCELLO,Bagnato (pioggia),Asfaltata,Sufficiente
3709875,Roma,VIA DEL FOSSO DI DRAGONCELLO,Bagnato (pioggia),Asfaltata,Sufficiente
3709907,Roma,VIA DOMENICO TARDINI,Asciutto,Asfaltata,Ore Diurne
3709907,Roma,VIA DOMENICO TARDINI,Asciutto,Asfaltata,Ore Diurne
3709907,Roma,VIA DOMENICO TARDINI,Asciutto,Asfaltata,Ore Diurne
3709907,Roma,VIA DOMENICO TARDINI,Asciutto,Asfaltata,Ore Diurne
3709907,Roma,VIA DOMENICO TARDINI,Asciutto,Asfaltata,Ore Diurne
3709946,Roma,VIA ARDEATINA,Bagnato (umidit? in atto),Con buche,Sufficiente
3709985,Roma,VIA FLAMINIA,Asciutto,Asfaltata,Sufficiente
3709985,Roma,VIA FLAMINIA,Asciutto,Asfaltata,Sufficiente
3710151,Roma,VIA OSTIENSE,Asciutto,Asfaltata,Sufficiente
3710151,Roma,VIA OSTIENSE,Asciutto,Asfaltata,Sufficiente
3710151,Roma,VIA OSTIENSE,Asciutto,Asfaltata,Sufficiente
3710153,Roma,VIA PRENESTINA,Bagnato (pioggia),Asfaltata,Ore Diurne
3710203,Roma,VIA DEL TORRACCIO,Asciutto,Asfaltata,Ore Diurne
3710203,Roma,VIA DEL TORRACCIO,Asciutto,Asfaltata,Ore Diurne
3710203,Roma,VIA DEL TORRACCIO,Asciutto,Asfaltata,Ore Diurne
3710203,Roma,VIA DEL TORRACCIO,Asciutto,Asfaltata,Ore Diurne
3710206,Roma,VIALE OXFORD,Asciutto,Asfaltata,Ore Diurne
3710206,Roma,VIALE OXFORD,Asciutto,Asfaltata,Ore Diurne
3710206,Roma,VIALE OXFORD,Asciutto,Asfaltata,Ore Diurne
3710253,Roma,VIALE FRANCESCO CALTAGIRONE,Bagnato (umidit? in atto),Asfaltata,Ore Diurne
3710253,Roma,VIALE FRANCESCO CALTAGIRONE,Bagnato (umidit? in atto),Asfaltata,Ore Diurne
3710253,Roma,VIALE FRANCESCO CALTAGIRONE,Bagnato (umidit? in atto),Asfaltata,Ore Diurne
3710268,Roma,VIA DELLA MAGLIANA,Asciutto,Asfaltata,Sufficiente
3710268,Roma,VIA DELLA MAGLIANA,Asciutto,Asfaltata,Sufficiente
3710268,Roma,VIA DELLA MAGLIANA,Asciutto,Asfaltata,Sufficiente
3710268,Roma,VIA DELLA MAGLIANA,Asciutto,Asfaltata,Sufficiente
3710269,Roma,VIA DEL PONTE DI NONA,Bagnato (pioggia),Asfaltata,Ore Diurne
3710269,Roma,VIA DEL PONTE DI NONA,Bagnato (pioggia),Asfaltata,Ore Diurne
3710269,Roma,VIA DEL PONTE DI NONA,Bagnato (pioggia),Asfaltata,Ore Diurne
3710278,Roma,VIA NOLA,Bagnato (umidit? in atto),Asfaltata,Insufficiente
3710279,Roma,VIA CASILINA,Asciutto,Con buche,Sufficiente
3710286,Roma,VIA DI TOR BELLA MONACA,Asciutto,Con buche,Ore Diurne
3710286,Roma,VIA DI TOR BELLA MONACA,Asciutto,Con buche,Ore Diurne
3710291,Roma,VIA DI TORRE SPACCATA,Asciutto,Con buche,Ore Diurne
3710291,Roma,VIA DI TORRE SPACCATA,Asciutto,Con buche,Ore Diurne
3710298,Roma,VIA DI TORRE SPACCATA,,,
3710304,Roma,VIA BORGHESIANA,,,
3710306,Roma,VIA RAOUL CHIODELLI,Asciutto,Asfaltata,Sufficiente
3710306,Roma,VIA RAOUL CHIODELLI,Asciutto,Asfaltata,Sufficiente
3710307,Roma,VIALE DELLA SORBONA,Asciutto,Asfaltata,Ore Diurne
3710307,Roma,VIALE DELLA SORBONA,Asciutto,Asfaltata,Ore Diurne
3710307,Roma,VIALE DELLA SORBONA,Asciutto,Asfaltata,Ore Diurne
3710309,Roma,VIALE GIUSEPPE SIRTORI,Asciutto,Asfaltata,Sufficiente
3710309,Roma,VIALE GIUSEPPE SIRTORI,Asciutto,Asfaltata,Sufficiente
3710309,Roma,VIALE GIUSEPPE SIRTORI,Asciutto,Asfaltata,Sufficiente
3710310,Roma,VIA COLLATINA,Asciutto,Asfaltata,Ore Diurne
3710310,Roma,VIA COLLATINA,Asciutto,Asfaltata,Ore Diurne
3710312,Roma,VIA DEL MARE,Asciutto,Asfaltata,Ore Diurne
3710312,Roma,VIA DEL MARE,Asciutto,Asfaltata,Ore Diurne
3710312,Roma,VIA DEL MARE,Asciutto,Asfaltata,Ore Diurne
3710312,Roma,VIA DEL MARE,Asciutto,Asfaltata,Ore Diurne
3710312,Roma,VIA DEL MARE,Asciutto,Asfaltata,Ore Diurne
3710312,Roma,VIA DEL MARE,Asciutto,Asfaltata,Ore Diurne
3710312,Roma,VIA DEL MARE,Asciutto,Asfaltata,Ore Diurne
